data,nome_feriado,tipo
2024-01-01,Confraternização Universal,Nacional
2024-02-13,Carnaval,Nacional
2024-03-29,Sexta-feira Santa,Nacional
2024-04-21,Tiradentes,Nacional
2024-05-01,Dia do Trabalho,Nacional
2024-05-30,Corpus Christi,Nacional
2024-09-07,Independência do Brasil,Nacional
2024-10-12,Nossa Senhora Aparecida,Nacional
2024-11-02,Finados,Nacional
2024-11-15,Proclamação da República,Nacional
2024-11-20,Dia Nacional de Zumbi e da Consciência Negra,Nacional
2024-12-25,Natal,Nacional
2025-01-01,Confraternização Universal,Nacional
2025-03-04,Carnaval,Nacional
2025-04-18,Sexta-feira Santa,Nacional
2025-04-21,Tiradentes,Nacional
2025-05-01,Dia do Trabalho,Nacional
2025-06-19,Corpus Christi,Nacional
2025-09-07,Independência do Brasil,Nacional
2025-10-12,Nossa Senhora Aparecida,Nacional
2025-11-02,Finados,Nacional
2025-11-15,Proclamação da República,Nacional
2025-11-20,Dia Nacional de Zumbi e da Consciência Negra,Nacional
2025-12-25,Natal,Nacional